SPA: Standard Peritoneal permeability Analysis,,,,,,,,,,,,,,,,,,,,,,,
Data Pig,,,,,,,,,,,,,,,,,,,,,,,
Animal,,,,,,,,,,,,,,,,,,,,,,,
Ear number pig:,6023,,,,,,,Before,After,,,,,,,,,,,,,,
Sex:,F,,,,,,00:02,70,80,,,,,,,,,,,,,,
Weight:,82,kg,,,,,00:03,70,75,,,,,,,,,,,,,,
Jugular katheter location,,,,,,,00:11,70,80,,,,,,,,,,,,,,
PD catheter:,Straight Tenckhoff,"Argyle, Covidien, Tenckhoff, 1 cuff, 47 cm",,,,,01:01,70,80,Urokinase according to protocol UMC administered in Tenckhoff,,,,,,,,,,,,,
PD catheter REF:,,,,Use by:,,,02:01,70,80,12:30,,,,,,,,,,,,,
PD catheter location:,,,,,,,03:01,70,75,,,,,,,,,,,,,,
Placement date PD catheter:,,,,,,,04:01,70,545,,,,,,,,,,,,,,
storage,,,,,,,,,,,,,,,,,,,,,,,
Temperature chip present?,yes,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Laboratory measurements:,,,,,,,,,,,,,,,,,,,,,,,
Plasma concentrations,,,,,,,,,,,,,,,,,,,,,,,Costs lkch
Sample,Sample volume,Time code,Actual time,,Urea,Creatinine,Potassium,Sodium,Albumin,Total protein,Phosphate,Glucose,Storage,Remarks,,,,,,,,,
,mL,,,,mmol/L,µmol/L,mmol/L,mmol/L,g/L,g/L,mmol/L,mmol/L,,(text),,,,,,,,,
T=0,6,00:00,08:42,,32.3,1681,4.6,140,,66,3.05,5.1,,,,,,,,,,,16.1
T=120,XXX,,,,,,,,,,,,,,,,,,,,,,
T=240,6,04:00,12:43,,29.8,1616,4.8,138,,69,3.11,5.6,,,,,,,,,,,11.78
Mean,,,,,31.1,1649,4.7,,,,3.1,5.4,,,,,,,,,,,
Dialysate concentrations,,,,,,,,,,,,,,,,,,,,,,,
Sample,Sample volume,Time code,Actual time,Remarks,Urea,Creatinine,Potassium,Sodium,Albumin,Total protein,Phosphate,Glucose,Storage,Remarks,Leukocytes,Neutrophils,D/P Urea,D/P Creatinine,D/P P,D/P K,D/D0 Glucose,D/P Na,
,mL,,,,mmol/L,µmol/L,mmol/L,mmol/L,mg/L,g/L,mmol/L,mmol/L,,(text),x10^9/L,x10^9/L,,,,,,,
drain after PN 1.36% dwell of the previous SPA 1,2,00:01,08:35,,25.7,1289,4,,114,,,9.1,YES (1x),,ND,ND,,,,,,,13.2
Fresh PD fluid for SPA (PN 1.36% + blue dextran),3,00:02,08:30,,,,,120,,,,126,YES (1x),,,,,,,,,,4.41
T=0,6,00:03,08:43,,5.8,280,1,,78,,0.48,101,YES (1x),,,,,0.17,,,,,13.2
T=10,5,00:11,08:53, ,11.9,562,2,133,,,0.95,84.4,YES (1x),,,,0.38,0.33,,,0.67,#DIV/0!,16.06
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
T=60,5,01:01,09:43,,19.9,851,3.3,130,,,1.41,62.8,YES (1x),,,,0.64,0.52,,,0.5,#DIV/0!,16.06
T=120,4,02:01,10:45,OTHER CATHETER FROM NOW ON,21.6,910,3.8,,,,1.51,53.7,YES (1x),,,,0.7,0.55,,,0.43,,7.27
T=180,4,03:01,11:43,,24.4,995,4,,,,1.64,46.7,YES (1x),,,,0.79,0.6,,,0.37,,7.27
T=240,5,04:01,12:43,,26.5,1091,4.3,127,171,,1.86,41,YES (1x),,,,0.89,0.68,0.6,0.9,0.33,#DIV/0!,16.06
t=0 after second filling,5,04:05,12:58,,,506,,,96,,,,YES (1x),,,,,,,,,,8.91
,29,,,,,,,,,,X,57.3,,,,,,,,,,,130.32
,,,,,,,,,,,,,,,,,,,,,,,
Exchange scheme:,,,,,,,,,,,%,1.03,1.81,,,,,,,,,,
Exchange,Solution,Volume bag (mL),Weight bag (g) before instillment,Weight bag after instillment (g),Volume instilled (mL),Weight drain bag (g),Weight empty drain bag (g),Drain volume (mL),Draining times,,,75.55555556,,,,,,,,,,,
Overnight dwell,Extraneal,2000,,,#DIV/0!,70,70,10,OUT,,,,,,,,,,,,,,
SPA dwell,Physioneal 35 2.27%,2000,2350,205,1950,545,70,432,IN,,OUT,,,,,,,,,,,,
PD fluid for second spa,Physioneal 35 2.27%,2000,2355,135,2018,930,70,782,IN,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Residual volume calculation:,,,,,,,,,,,,,,,,,,,,,,,
