SPA: Standard Peritoneal permeability Analysis,,,,,,,,,,,,,,,,,,,,,,,
Data Pig,,,,,,,,,,,,,,,,,,,,,,,
Animal,,,,,,,,,,,,,,,,,,,,,,,
Ear number pig:,9666,,,,,,,,,,Experimental notes: ,,,,,,,,,,,,
Sex:,F,,,,,,,,,,,,,,04:03,80,75,,,,,,
Weight:,74.5,kg,,,,,,,,,6mL bluedex,1mg/ml,,,04:11,80,75,,,,,,
Jugular katheter location,,,,,,,,,,,"Of note: weight of IN for this SPA is INCL BD, EXCL sample which had already been taken before weighing",,,,05:01,85,75,,,,,,
PD catheter:,Straight Tenckhoff,"Argyle, Covidien, Tenckhoff, 1 cuff, 47 cm",,,,,,,,,,,,,06:01,80,75,,,,,,
PD catheter REF:,,,,Use by:,,,,,,,Remaining stock solution of the BD solution was stored as well for analysis of exact concentration,,,,07:01,80,75,,,,,,
PD catheter location:,Left (1),,,,,,,,,,,,,,08:01,,75,,,,,,
Placement date PD catheter:,,,,,,,,,,,Urine at 14:23,,"Collected from cage and ground; spun down 10m at 3000rpm, half filtered with 0.2µm filter, other half unfiltered",,,,,,,,,,
storage,,,,,,,,,,,,,Stored in storage,,,,,,,,,,
Temperature chip present?,yes,"38,3 C during experiment",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Laboratory measurements:,,,,,,,,,,,,,,,,,,,,,,,
Plasma concentrations,,,,,,,,,,,,,,,,,,,,,,,Costs lkch
Sample,Sample volume,Time code,Actual time,,Urea,Creatinine,Potassium,Sodium,Albumin,Total protein,Phosphate,Glucose,Storage,Remarks,,,,,,,,,
,mL,,,,mmol/L,µmol/L,mmol/L,mmol/L,g/L,g/L,mmol/L,mmol/L,,(text),,,,,,,,,
T=0,6,04:00,12:48,,15.2,956,3.5,140,,64,2.51,5.4,YES (2x),2x LH3; 1 spun down,,,,,,,,,11.78
T=120,XXX,,,,,,,,,,,,,,,,,,,,,,
T=240,6,08:00,17:06,,14.3,912,3.4,140,,65,2.56,5.7,YES (2x),2x LH3; 1 spun down,,,,,,,,,11.78
Mean,,,,,14.8,934,3.5,140,,,2.5,,,,,,,,,,,,
Dialysate concentrations,,,,,,,,,,,,,,,,,,,,,,,
Sample,Sample volume,Time code,Actual time,No of tubes,Urea,Creatinine,Potassium,Sodium,Albumin,Total protein,Phosphate,Glucose,Storage,Remarks,Leukocytes,Neutrophils,D/P Urea,D/P Creatinine,D/P P,D/P K,D/D0 Glucose,D/P Na,
,mL,,,,mmol/L,µmol/L,mmol/L,mmol/L,g/L,g/L,mmol/L,mmol/L,,(text),x10^9/L,x10^9/L,,,,,,,
drain after PN 1.36% dwell of the previous SPA 1,,04:01,12:48,x,10.4,408,3,,43,,0.89,42.2,YES (1x),,ND,ND,,,,,,,13.2
Fresh PD fluid for SPA (PN 1.36% + blue dextran),,04:03,12:45,2,,,,132,,,,69.4,YES (1x),+ 1x BlueDex,,,,,,,,,4.41
T=0,4,04:05,13:06,4,1,39,0.3,,4,,0.08,69,YES (1x),+ 1x BlueDex,,,,0.04,,,,,13.2
T=10,4,04:11,13:17,4,2.2,64,0.5,131,,,0.15,64.3,YES (1x),+ 1x BlueDex,,,0.15,0.07,,,0.93,0.94,16.06
,,,,,,,,,,,,,,+ 1x BlueDex,,,,,,,,,
,,,,,,,,,,,,,,+ 1x BlueDex,,,,,,,,,
T=60,4,05:01,14:06,4,4.4,146,1.9,128,,,0.31,57.7,YES (1x),+ 1x BlueDex,,,0.3,0.16,,,0.83,0.91,16.06
T=120,3,06:01,15:06,2,7,241,2.6,,,,0.49,51,YES (1x),+ 1x BlueDex,,,0.47,0.26,,,0.73,,7.27
T=180,3,07:01,16:06,2,8.1,313,2.8,,,,0.66,46,YES (1x),+ 1x BlueDex,,,0.55,0.34,,,0.66,,7.27
