SPA: Standard Peritoneal permeability Analysis,,,,,,,,,,,,,,,,,,,,,,,
Data Pig,,,,,,,,,,,,,,,,,,,,,,,
Animal,,,,,,,,,,,,,,,,,,,,,,,
Ear number pig:,9666,,,,,,,,,,Experimental notes: ,,,,,,,,,,,,
Sex:,F,,,,,,,,,,,,,,,,,,,,,,
Weight:,74.9,kg,,,,,,,,,,,,,,,,,,,,,
Jugular katheter location,,,,,,,,,,,,,,,,,,,,,,,
PD catheter:,Straight Tenckhoff,"Argyle, Covidien, Tenckhoff, 1 cuff, 47 cm",,,,,,,,,,,,,,,,,,,,,
PD catheter REF:,,,,Use by:,,,,,,,,,,,,,,,,,,,
PD catheter location:,,,,,,,,,,,,,,,,,,,,,,,
Placement date PD catheter:,,,,,,,,,,,,,,,,,,,,,,,
storage,,,,,,,,,,,,,,,,,,,,,,,
Temperature chip present?,yes,"38,3 C during experiment",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Laboratory measurements:,,,,,,,,,,,,,,,,,,,,,,,
Plasma concentrations,,,,,,,,,,,,,,,,,,,,,,,Costs lkch
Sample,Sample volume,Time code,Actual time,,Urea,Creatinine,Potassium,Sodium,Albumin,Total protein,Phosphate,Glucose,Storage,Remarks,,,,,,,,,
,mL,,,,mmol/L,µmol/L,mmol/L,mmol/L,g/L,g/L,mmol/L,mmol/L,,(text),,,,,,,,,
T=0,5,04:00,12:52,,11.6,1183,3.5,137,,56,1.87,6.1,,,,,,,,,,,11.78
T=120,XXX,,,,,,,,,,,,,,,,,,,,,,
T=240,5,08:00,,,11.5,1242,3.5,137,,58,1.94,5.7,,,,,,,,,,,11.78
Mean,,,,,11.6,1213,3.5,137,,,1.9,,,,,,,,,,,,
Dialysate concentrations,,,,,,,,,,,,,,,,,,,,,,,
Sample,Sample volume,Time code,Actual time,No of tubes,Urea,Creatinine,Potassium,Sodium,Albumin,Total protein,Phosphate,Glucose,Storage,Remarks,Leukocytes,Neutrophils,D/P Urea,D/P Creatinine,D/P P,D/P K,D/D0 Glucose,D/P Na,
,mL,,,,mmol/L,µmol/L,mmol/L,mmol/L,g/L,g/L,mmol/L,mmol/L,,(text),x10^9/L,x10^9/L,,,,,,,
drain after PN 1.36% dwell of the previous SPA 1,,04:01,,x,7.6,469,3,,0.049,0.01,0.64,58.6,,,,,,,,,,,13.2
Fresh PD fluid for SPA (PN 1.36% + blue dextran),,04:03,,2,,,,107,,,,126,,Actual value > 116,,,,,,,,,4.41
T=0,6.2,04:06,13:11,4,1.09,66,0.43,,0.007,0.01,0.09,109,,,,,,0.06,,,,,13.2
T=10,5.2,04:11,13:20,4,1.57,95,0.69,128,0.008,0.01,0.12,101.9,,,,,0.14,0.08,,,0.81,0.93,16.06
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
T=60,5.2,05:01,14:10,4,4,228,2,122,0.023,0.01,0.28,86.4,,,,,0.35,0.19,,,0.69,0.89,16.06
T=120,3.2,06:01,15:11,2,5.4,338,2.5,,,,0.42,73.6,,,,,0.47,0.28,,,0.58,,7.27
T=180,3.2,07:01,16:10,2,6.6,433,2.8,,,,0.54,64.6,,,,,0.57,0.36,,,0.51,,7.27
T=240,7.2,08:01,17:10,5,7.6,515,2.9,121,0.057,0.01,0.64,57.3,,,0.1,0.06,0.66,0.41,0.33,0.83,0.45,0.88,16.06
PD effluent complete drain after rinsing,4.2,08:02,17:20,4,,,,,0.007,0.01,,,,,,,,,,,,,8.91
,30.2,,,,,,,,,,X,76.5,,,,,,,,,,,126
,,,,,,,,,,,,,,,,,,,,,,,
Exchange scheme:,,,,,,,,,,,%,1.38,1.96,,,,,,,,,,
Exchange,Solution,Volume bag (mL),Weight bag (g) before instillment,Weight bag after instillment (g),Volume instilled (mL),Weight drain bag (g),Weight empty drain bag (g),Drain volume (mL),Draining times,,,126.1111111,,,,,,,,,,,
Preceding dwell ,Physioneal 2.27%,2000,2365,200,1831,2620,75,2324,Out,707.09,,,,,,,,,,,,,
SPA dwell,Physioneal 2.27%,2000,2365,200,1968,2695,75,2382,In,12:35 - 12:48,Out,16:51:00,17:05,,,,,,,,,,
PD fluid for rinsing,Extraneal,2000,2185,60,1932,,75,-68,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Residual volume calculation:,,,,,,,,,,,,,,,,,,,,,,,
,RV before SPA (mL),RV after SPA (mL),IP volume T=0 (mL),IP volume T=240 (mL),Mean IPV (mL),ELAR (mL/h),UFV (mL/h),,,,,,,,,,,,,,,,
[Creatinine],322,,2291,2652,2471.4,132,228.19,,,,,,,,,,,,,,,,
,,,,,,,,392,,,,,,,,,,,,,,,
[Albumin],328,270,2296,2652.3,2474.2,132,226.77,2474,2469.966548,,,,,,,,,,,,,,
[Dextran] ,#DIV/0!,-1932,,,,,,386,,,,,,,,,,,,,,,
Mean,,,,,,*estimated based on mean ELAR SPA's,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Transport parameters:,,,,,,,,,,,,,,,,,,,,,,,
