SPA: Standard Peritoneal permeability Analysis,,,,,,,,,,,,,,,,,,,,,,,
Data Pig,,,,,,,,,,,,,,,,,,,,,,,
Animal,,,,,,,,,,,,,,,,,,,,,,,
Ear number pig:,6023,,,,,,Before,After,,,Experimental notes: ,,,,,,,,,,,,
Sex:,F,,,,,04:05,70,80,,,,,,,04:03,,,,,,,,
Weight:,82,kg,,,,04:11,70,80,,,,,,,04:11,,,,,,,,
Jugular katheter location,,,,,,05:01,70,80,,,,,,,05:01,,,,,,,,
PD catheter:,Straight Tenckhoff,"Argyle, Covidien, Tenckhoff, 1 cuff, 47 cm",,,,06:01,70,80,,,,,,,06:01,,,,,,,,
PD catheter REF:,,,,Use by:,,07:01,70,75,,,,,,,07:01,,,,,,,,
PD catheter location:,,,,,,08:01,70,80,,24mL opgezogen,,,,,08:01,,,,,,,,
Placement date PD catheter:,,, ,,,,,,,,,,,,,,,,,,,,
storage,,,,,,,,,,,,,,,,,,,,,,,
Temperature chip present?,yes,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Laboratory measurements:,,,,,,,,,,,,,,,,,,,,,,,
Plasma concentrations,,,,,,,,,,,,,,,,,,,,,,,Costs lkch
Sample,Sample volume,Time code,Actual time,,Urea,Creatinine,Potassium,Sodium,Albumin,Total protein,Phosphate,Glucose,Storage,Remarks,,,,,,,,,
,mL,,,,mmol/L,µmol/L,mmol/L,mmol/L,g/L,g/L,mmol/L,mmol/L,,(text),,,,,,,,,
T=0,6,04:00,12:43,,29.8,1616,4.8,138,,69,3.11,5.6,,,,,,,,,,,11.78
T=120,XXX,,,,,,,,,,,,,,,,,,,,,,
T=240,6,08:00,16:58,,29.6,1551,4.3,138,,69,2.96,6.3,,,,,,,,,,,11.78
Mean,,,,,29.7,1584,4.6,138,,,3,,,,,,,,,,,,
Dialysate concentrations,,,,,,,,,,,,,,,,,,,,,,,
Sample,Sample volume,Time code,Actual time,No of tubes,Urea,Creatinine,Potassium,Sodium,Albumin,Total protein,Phosphate,Glucose,Storage,Remarks,Leukocytes,Neutrophils,D/P Urea,D/P Creatinine,D/P P,D/P K,D/D0 Glucose,D/P Na,
