SPA: Standard Peritoneal permeability Analysis,,,,,,,,,,,,,,,,,,,,,,,
Data Pig,,,,,,,,,,,,,,,,,,,,,,,
Animal,,,,,,,,,,,,,,,,,,,,,,,
Ear number pig:,9666,,,,,,,,,,Experimental notes: ,,,,,Bag,,,,,,,
Sex:,F,,,,,,,,,,Bluedex,,,,00:03,80,75,,,,,,
Weight:,74.5,kg,,,,,,,,,~1.5g/15ml,= 1mg/mL,,,00:11,80,75,,,,,,
Jugular katheter location,,,,,,,,,,,,,,,01:01,80,75,,,,,,
PD catheter:,Straight Tenckhoff,"Argyle, Covidien, Tenckhoff, 1 cuff, 47 cm",,,,,,,,,15 ml from first bag,,,,02:01,80,75,,,,,,
PD catheter REF:,,,,Use by:,,,,,,,6 ml returned,,,,03:01,80,75,,,,,,
PD catheter location:,Left (1),,,,,,,,,,6ml for second SPA,,,,,,,,,,,,
Placement date PD catheter:,,,,,,,,,,,Physioneal 35 1.36%,,,,,,,,,,,,
storage,,,,,,,,,,,,,,,,,,,,,,,
Temperature chip present?,yes,"38,3 C during experiment",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Laboratory measurements:,,,,,,,,,,,,,,,,,,,,,,,
Plasma concentrations,,,,,,,,,,,,,,,,,,,,,,,Costs lkch
Sample,Sample volume,Time code,Actual time,,Urea,Creatinine,Potassium,Sodium,Albumin,Total protein,Phosphate,Glucose,Storage,Remarks,,,,,,,,,
,mL,,,,mmol/L,µmol/L,mmol/L,mmol/L,g/L,g/L,mmol/L,mmol/L,,(text),,,,,,,,,
T=0,6,00:00,08:48,,15.1,1013,3.5,140,,64,2.94,5.4,YES (2x),2x LH3; 1 spun down,,,,,,,,,16.1
T=120,XXX,,,,,,,,,,,,,,,,,,,,,,
T=240,5,04:00,12:48,,15.2,956,3.5,140,,64,2.51,5.4,YES (2x),2x LH3; 1 spun down,,,,,,,,,11.78
Mean,,,,,15.2,985,3.5,,,,2.7,,,,,,,,,,,,
Dialysate concentrations,,,,,,,,,,,,,,,,,,,,,,,
Sample,Sample volume,Time code,Actual time,Blue dextran,Urea,Creatinine,Potassium,Sodium,Albumin,Total protein,Phosphate,Glucose,Storage,Remarks,Leukocytes,Neutrophils,D/P Urea,D/P Creatinine,D/P P,D/P K,D/D0 Glucose,D/P Na,
,mL,,,g/L,mmol/L,µmol/L,mmol/L,mmol/L,mg/L,g/L,mmol/L,mmol/L,,(text),x10^9/L,x10^9/L,,,,,,,
drain after PN 1.36% dwell of the previous SPA 1,,00:01,08:52,,16.2,832,3.1,,101,,2.07,,YES (1x),,0.1,0,,,,,,,13.2
Fresh PD fluid for SPA (PN 1.36% + blue dextran),3,00:02,08:37,0.223915776,,,,133,,,,68.9,YES (1x),+ 1x BlueDex,,,,,,,,,4.41
T=0,4,00:03,08:48,0.148444164,0.5,75,0.09,,3,,0.18,73,YES (1x),+ 1x BlueDex,,,,0.07,,,,,13.2
T=10,4,00:11,08:59,0.15327568,2.4,105,0.39,131,,,0.26,61.9,YES (1x),+ 1x BlueDex,,,0.16,0.1,,,0.9,#DIV/0!,16.06
,,,,,,,,,,,,,,+ 1x BlueDex,,,,,,,,,
,,,,,,,,,,,,,,+ 1x BlueDex,,,,,,,,,
T=60,4,01:01,09:48,0.149776996,4.5,184,1.9,129,,,0.44,56.9,YES (1x),+ 1x BlueDex,,,0.3,0.19,,,0.83,#DIV/0!,16.06
T=120,3,02:01,10:48,0.15160964,7.4,284,2.5,,,,0.64,51,YES (1x),+ 1x BlueDex,,,0.49,0.29,,,0.74,,7.27
T=180,3,03:01,11:48,0.158607008,9,349,2.8,,,,0.77,46.2,YES (1x),+ 1x BlueDex,,,0.59,0.35,,,0.67,,7.27
T=240,25,04:01,12:48,0.165604376,10.4,408,3,129,43,,0.89,42.2,YES (1x),+ 1x BlueDex,,,0.68,0.43,0.35,0.86,0.61,#DIV/0!,16.06
t=0 after second filling,4.2,04:05,13:06,x,,39,,,4,,,,YES (1x),+ 1x BlueDex,ND,ND,,,,,,,8.91
,43,,,,,,,,,,X,51.9,,,,,,,,,,,130.32
,,,,,,,,,,,,,,,,,,,,,,,
Exchange scheme:,,,,,,,,,,,%,0.93,1.32,,,,,,,,,,
Exchange,Solution,Volume bag (mL),Weight bag (g) before instillment,Weight bag after instillment (g),Volume instilled (mL),Weight drain bag (g),Weight empty drain bag (g),Drain volume (mL),Draining times,,,75.55555556,,,,,,,,,,,
Overnight dwell - 28-4!,Extraneal,2000,2190,60,1945,2370,75,2096,OUT,,,,,,,,,,,,,,
