SPA: Standard Peritoneal permeability Analysis,,,,,,,,,,,,,,,,,,,,,,,
Data Pig,,,,,,,,,,,,,,,,,,,,,,,
Animal,,,,,,,,,,,,,,,,,,,,,,,
Ear number pig:,9666,,,,,,,,,,Experimental notes: ,,,,,,,,,,,,
Sex:,F,,,,,,,,,,,,,,,,,,,,,,
Weight:,74.9,kg,,,,,,,,,,,,,,,,,,,,,
Jugular katheter location,,,,,,,,,,,,,,,,,,,,,,,
PD catheter:,Straight Tenckhoff,"Argyle, Covidien, Tenckhoff, 1 cuff, 47 cm",,,,,,,,,,,,,,,,,,,,,
PD catheter REF:,,,,Use by:,,,,,,,,,,,,,,,,,,,
PD catheter location:,,,,,,,,,,,,,,,,,,,,,,,
Placement date PD catheter:,,,,,,,,,,,,,,,,,,,,,,,
storage,,,,,,,,,,,,,,,,,,,,,,,
Temperature chip present?,yes,"38,3 C during experiment",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Laboratory measurements:,,,,,,,,,,,,,,,,,,,,,,,
Plasma concentrations,,,,,,,,,,,,,,,,,,,,,,,Costs lkch
Sample,Sample volume,Time code,Actual time,,Urea,Creatinine,Potassium,Sodium,Albumin,Total protein,Phosphate,Glucose,Storage,Remarks,,,,,,,,,
,mL,,,,mmol/L,µmol/L,mmol/L,mmol/L,g/L,g/L,mmol/L,mmol/L,,(text),,,,,,,,,
T=0,5,00:00,08:45,,10.8,1140,4.4,136,,59,2.05,5.5,,,,,,,,,,,16.1
T=120,XXX,,,,,,,,,,,,,,,,,,,,,,
T=240,5,04:00,12:52,,11.6,1183,3.5,137,,56,1.87,6.1,,,,,,,,,,,11.78
Mean,,,,,11.2,1162,4,,,,2,,,,,,,,,,,,
Dialysate concentrations,,,,,,,,,,,,,,,,,,,,,,,
Sample,Sample volume,Time code,Actual time,No of tubes,Urea,Creatinine,Potassium,Sodium,Albumin,Total protein,Phosphate,Glucose,Storage,Remarks,Leukocytes,Neutrophils,D/P Urea,D/P Creatinine,D/P P,D/P K,D/D0 Glucose,D/P Na,
,mL,,,,mmol/L,µmol/L,mmol/L,mmol/L,g/L,g/L,mmol/L,mmol/L,,(text),x10^9/L,x10^9/L,,,,,,,
drain after PN 1.36% dwell of the previous SPA 1,,00:01,,5,9.1,653,3.5,,0.099,0.01,1.07,,,,0.2,0.11,,,,,,,13.2
Fresh PD fluid for SPA (PN 1.36% + blue dextran),,00:02,,2,,,,131,,,,126,,Actual value > 116,,,,,,,,,4.41
T=0,6.5,00:03,08:45,4,0.83,65,0.32,,0.009,0.01,0.097,115,,,,,,0.06,,,,,13.2
T=10,5.2,00:11,08:56,4,1.31,106,1.1,128,0.013,0.01,0.16,99.9,,,,,0.12,0.09,,,0.79,#DIV/0!,16.06
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
T=60,5.2,01:01,09:44,4,3.7,209,2.1,122,0.022,0.01,0.3,86.3,,,,,0.33,0.18,,,0.68,#DIV/0!,16.06
T=120,3.2,02:01,10:45,2,5.4,308,2.6,,,,0.44,73.6,,,,,0.48,0.27,,,0.58,,7.27
T=180,3.2,03:01,11:45,2,6.5,392,2.9,,,,0.53,65,,,,,0.58,0.34,,,0.52,,7.27
T=240,7.2,04:01,12:45,5,7.6,469,3,118,0.049,0.01,0.64,58.6,,,,,0.66,0.4,0.34,0.76,0.47,#DIV/0!,16.06
t=0 after second filling,4.2,04:06,13:11,x,,,,,0.007,0.01,,,,,,,,,,,,,8.91
,30.5,,,,,,,,,,X,76.6,,,,,,,,,,,130.32
,,,,,,,,,,,,,,,,,,,,,,,
Exchange scheme:,,,,,,,,,,,%,1.38,2.07,,,,,,,,,,
Exchange,Solution,Volume bag (mL),Weight bag (g) before instillment,Weight bag after instillment (g),Volume instilled (mL),Weight drain bag (g),Weight empty drain bag (g),Drain volume (mL),Draining times,,,126.1111111,,,,,,,,,,,
Overnight dwell - 28-4!,Extraneal,2000,,,#DIV/0!,3665,150,3205,OUT,,,,,,,,,,,,,,
SPA dwell,Physioneal 2.27%,2000,2365,200,1968,2620,75,2314,IN,,OUT,,,,,,,,,,,,
PD fluid for second spa,Physioneal 2.27%,2000,2365,200,1968,2695,75,2382,IN,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Residual volume calculation:,,,,,,,,,,,,,,,,,,,,,,,
,RV before SPA (mL),RV after SPA (mL),IP volume T=0 (mL),IP volume T=240 (mL),Mean IPV (mL),ELAR (mL/h),UFV (mL/h),,,,,,,,,,,,,,,,
[Creatinine],218,322,2186,2636,2410.7,132,250.3,,,,,,,,,,,,,,,,
,,,,,,,,480,,,,,,,,,,,,,,,
[Albumin],197,328,2165,2641.7,2403.3,132,256.99,2403,2395.434233,,,,,,,,,,,,,,
[Dextran] ,#DIV/0!,#VALUE!,,,,,,507,,,,,,,,,,,,,,,
Mean,,,,,,*estimated based on mean ELAR SPA's,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Transport parameters:,,,,,,,,,,,,,,,,,,,,,,,
