SPA: Standard Peritoneal permeability Analysis,,,,,,,,,,,,,,,,,,,,,,,
Data Pig,,,,,,,,,,,,,,,,,,,,,,,
Animal,,,,,,,,,,,,,,,,,,,,,,,
Ear number pig:,1998,,,,,,,,,,,,,,,,,,,,,,
Sex:,F,,,,,,,,,,,,,,,,,,,,,,
Weight:,,kg,,,,,,,,,,,,,,,,,,,,,
Jugular katheter location,right,,,,,,,,,,,,,,,,,,,,,,
PD catheter:,Straight Tenckhoff,"Argyle, Covidien, Tenckhoff, 1 cuff, 47 cm",,,,,,,,,,,,,,,,,,,,,
PD catheter REF:,,,,Use by:,,,,,,,,,,,,,,,,,,,
PD catheter location:,Right (1),Left (1),,,,,,,,,,,,,,,,,,,,,
Placement date PD catheter:,29-5-2018,12-9-2018,,,,,,,,,,,,,,,,,,,,,
,removed,the left (1) catheter was used during this experiment.,,,,,,,,,,,,,,,,,,,,,
Temperature chip present?,yes,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Laboratory measurements:,,,,,,,,,,,,,,,,,,,,,,,
Plasma concentrations,,,,,,,,,,,,,,,,,,,,,,,
Sample,,Sample volume,Time code,Actual time,,Urea,Creatinine,Sodium,Potassium,Albumin,Total protein,Phosphate,Glucose,Storage,Remarks,,,,,,,,
,,mL,,,,mmol/L,µmol/L,mmol/L,mmol/L,g/L,g/L,mmol/L,mmol/L,,(text),,,,,,,,
T=0,,XXX,03:57,08:37,,14.1,358,141,,32.4,66,2.95,4.7,,,,,,,,,,
T=120,,XXX,05:59,11:15,,13.9,370,142,,31.7,66,2.83,4.8,,,,,,,,,,
T=240,,XXX,08:00,,,14.1,392,144,,31.8,66,2.91,5.2,,,,,,,,,,
Mean,,,,,,14,373,142,4.7,,,2.9,,,,,,,,,,,
Dialysate concentrations,No. of sampling tubes,,,,,,,,,,,,,,,,,,,,,,
Sample,,Sample volume,Time code,Actual time,Dextran,Urea,Creatinine,Sodium,Potassium,Albumin,Total protein,Phosphate,Glucose,Storage,Remarks,Leukocytes,Neutrophils,D/P Urea,D/P Creatinine,D/P P,D/P K,D/D0 Glucose,D/P Na
,,mL,,,g/L,mmol/L,µmol/L,mmol/L,mmol/L,g/L,g/L,mmol/L,mmol/L,,(text),x10^9/L,x10^9/L,,,,,,
Partial drain overnight dwell,4,,03:58,09:01,0.0141,13.4,273,137,4.1,281,2.48,,26.8,,,,,,,,,,
Fresh PD fluid for SPA (PN 1.36% + blue dextran),6,,03:59,09:05,0.359,0.1,3,130,<1,1,0.04,,72.6,,,,,,,,,,
T=0,,6.5,,,,7.7,156.3,,0.9,,,1.2,50,,,,,0.54,0.44,,,1,
T=10,6,6.5,04:10,09:30,0.156,7.8,158,136,1.5,167,1.42,1.21,44.4,,,,,0.55,0.44,,,0.89,0.96
T=20,1,6.5,04:20,09:41,0.153,,,,,,,,,,,,,,,,,,
T=30,1,6.5,04:30,09:51,0.155,,,,,,,,,,,,,,,,,,
T=60,6,6.5,05:00,10:20,0.155,8.7,167,,,,,1.28,43.1,,,,,0.62,0.46,,,0.86,#REF!
T=120,3,6.5,06:00,11:19,0.152,10.1,186,135,3.8,173,1.45,1.35,42.7,,,,,0.73,0.5,,,0.85,
T=180,3,6.5,07:00,12:20,0.151,10.7,194,,,,,1.42,41.9,,,,,0.76,0.51,,,0.84,
T=240,6,6.5,08:00,13:21,0.152,11.5,210,135,4.2,181,1.52,1.49,39.1,,,,,0.82,0.54,0.51,0.89,0.78,0.94
PD effluent complete drain after infusion of fresh physioneal for next SPA dwell,4,,08:10,14:10,0.097,,,,,126,1.04,,,,,,,,,,,,
,,52,,,,,,,,,,,42.5,,,,,,,,,,
,,,,,,,,,,,,X,0.77,0.9,,,,,,,,,
Exchange scheme:,,,,,,,,,,,,,,,,,,,,,,,
Exchange,Solution,Volume bag (mL),Weight bag (g) before instillment,Weight bag after instillment (g),Volume instilled (mL),Weight drain bag (g),Weight empty drain bag (g),Drain volume (mL),Total sample volume (mL),,,,,,,,,,,,,,
Overnight dwell,3.86% Physioneal ,2000,2325,205,1927,725,75,591,,Soortelijk gewicht:,,1.1,g/mL,,,,,,,,,,
SPA dwell,1.36% Physioneal + blue dextran,2000,2325,205,1927,1240,1165,68,,,,,,,,,,,,,,,
Rinsing after SPA,1.36% Physioneal,2500,2350,735,1468,,,0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Residual volume calculation:,,,,,,,,,,,,,,,,,,,,,,,
,RV before SPA (mL),RV after SPA (mL),IP volume T=0 (mL),IP volume T=240 (mL),Mean IPV (mL),,,,"Dx0, absolute amount of Dextran at T=0",,,,0.7,,,,,,,,,,
[Creatinine],2648,,4509,3249,3879.2,3879,3844.826471,,"Dxt, absolute amount of Dextran at T=240",,,,0.5,,,,,,,,,,
[Total protein],2582,3181,,,,,,,Dx geometric,,,,0.2,,,,,,,,,,
[Albumin],2823,3363,,,,,,,ELAR (mL/min),,,,5.2,,,,,,,,,,
[Dextran] ,2757.1,2589,,,,,,,,,,,,,,,,,,,,,
