SPA: Standard Peritoneal permeability Analysis,,,,,,,,,,,,,,,,,,,,,,,
Data Pig,,,,,,,,,,,,,,,,,,,,,,,
Animal,,,,,,,,,,,,,,,,,,,,,,,
Ear number pig:,1998,,,,,,,,,,,,,,,,,,,,,,
Sex:,F,,,,,,,,,,,,,,,,,,,,,,
Weight:,,kg,,,,,,,,,,,,,,,,,,,,,
Jugular katheter location,right,,,,,,,,,,,,,,,,,,,,,,
PD catheter:,Straight Tenckhoff,"Argyle, Covidien, Tenckhoff, 1 cuff, 47 cm",,,,,,,,,,,,,,,,,,,,,
PD catheter REF:,,,,Use by:,,,,,,,,,,,,,,,,,,,
PD catheter location:,Right (1),Left (1),Right (2),,,,,,,,,,,,,,,,,,,,
Placement date PD catheter:,29-5-2018,12-9-2018,17-12-2018,,,,,,,,,,,,,,,,,,,,
,removed,,the right (2) catheter was used during this experiment.,,,,,,,,,,,,,,,,,,,,
Temperature chip present?,yes,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Laboratory measurements:,,,,,,,,,,,,,,,,,,,,,,,
Plasma concentrations,,,,,,,,,,,,,,,,,,,,,,,
Sample,,Sample volume,Time code,Actual time,,Urea,Creatinine,Sodium,Potassium,Albumin,Total protein,Phosphate,Glucose,Storage,Remarks,,,,,,,,
,,mL,,,,mmol/L,µmol/L,mmol/L,mmol/L,g/L,g/L,mmol/L,mmol/L,,(text),,,,,,,,
T=0,,XXX,03:57,11:38,,12.8,793,137,,31.1,68,2.24,4.8,,,,,,,,,,
T=120,,XXX,05:59,13:47,,13.1,802,137,,32.8,68,2.34,4.7,,,,,,,,,,
T=240,,XXX,08:00,,,12.9,784,136,,32.4,68,2.32,4.7,,,,,,,,,,
Mean,,,,,,12.9,793,137,4.2,,,2.3,,,,,,,,,,,
Dialysate concentrations,No. of sampling tubes,,,,,,,,,,,,,,,,,,,,,,
Sample,,Sample volume,Time code,Actual time,Dextran,Urea,Creatinine,Sodium,Potassium,Albumin,Total protein,Phosphate,Glucose,Storage,Remarks,Leukocytes,Neutrophils,D/P Urea,D/P Creatinine,D/P P,D/P K,D/D0 Glucose,D/P Na
,,mL,,,g/L,mmol/L,µmol/L,mmol/L,mmol/L,g/L,g/L,mmol/L,mmol/L,,(text),x10^9/L,x10^9/L,,,,,,
Partial drain overnight dwell,4,,03:58,11:40,,,,,3.4,263,5.88,,75.4,,,,,,,,,,
Fresh PD fluid for SPA (PN 1.36% + blue dextran),6,,03:59,11:15,0.687662169,,,,<1,,,,,,,,,,,,,,
T=0,,6,,,,1.5,50,,0.9,,,0.15,67,,,,,0.12,0.06,,,1,
T=10,6,6,04:10,11:58,0.681044842,3.1,135,130,1.5,105,0.9,0.33,63.8,,,,,0.24,0.17,,,0.95,0.95
T=20,1,2,04:20,12:07,0.588402264,,,,,,,,,,,,,,,,,,
T=30,1,2,04:30,12;17,0.703625025,,,,,,,,,,,,,,,,,,
T=60,6,6,05:00,12:48,0.686849509,6.1,267,127,,168,1.38,0.67,49.1,,,,,0.47,0.33,,,0.73,0.93
T=120,3,3,06:00,13:50,0.686501228,8.3,374,,3.2,,,0.94,43.2,,,,,0.63,0.47,,,0.64,
T=180,3,3,07:00,14:48,0.701419243,9.5,437,,,,,1.14,38,,,,,0.73,0.55,,,0.57,
T=240,6,27,08:00,16:14,0.677387898,10.3,504,127,3.7,210,1.76,1.33,30.7,,,,,0.8,0.64,0.57,0.88,0.46,0.93
PD effluent complete drain after infusion of fresh physioneal for next SPA dwell,4,4,08:10,,0.324115505,,,,,109,0.92,,,,,,,,,,,,
,,55,,,,,,,,,,X,44.8,,,,,,,,,,
,,,,,,,,,,,,%,0.81,1.21,,,,,,,,,
Exchange scheme:,,,,,,,,,,,,,,,,,,,,,,,
Exchange,Solution,Volume bag (mL),Weight bag (g) before instillment,Weight bag after instillment (g),Volume instilled (mL),Weight drain bag (g),Weight empty drain bag (g),Drain volume (mL),Total sample volume (mL),,,,,,,,,,,,,,
Overnight dwell,3.86% Physioneal ,2000,2355,1210,1041,930,75,777,,Soortelijk gewicht:,,1.1,g/mL,,,,,,,,,,
SPA dwell,1.36% Physioneal + blue dextran,2000,2135,205,1755,1400,75,1205,,,,,,,,,,,,,,,
Rinsing after SPA,1.36% Physioneal,2500,2725,1600,1023,1435,75,1236,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Residual volume calculation:,,,,,,,,,,,,,,,,,,,,,,,
,RV before SPA (mL),RV after SPA (mL),IP volume T=0 (mL),IP volume T=240 (mL),Mean IPV (mL),,,,"Dx0, absolute amount of Dextran at T=0",,,,1.2,,,,,,,,,,
[Creatinine],,,2072,2325,2198.2,2198,2195.724054,,"Dxt, absolute amount of Dextran at T=240",,,,1.6,,,,,,,,,,
[Total protein],317,1120,,,,,,,Dx geometric,,,,0.7,,,,,,,,,,
[Albumin],1166,1104,,,,,,,ELAR (mL/min),,,,-2.4,,,,,,,,,,
[Dextran] ,17,938,,,,,,,,,,,,,,,,,,,,,
Mean,,,,,,*ELAR estimated based on mean ELAR during SPA experiments,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Transport parameters:,,,,,,,,,,,,,,,,,,,,,,,
,2-h Removal (mmol),Removal (mmol),Clearance (mL/min),MTAC Garred (mL/min),MTAC Waniewski (mL/min),Removal (mmol),Clearance (mL/min),MTAC Garred (mL/min),MTAC Waniewski (mL/min),2-h Removal sampling,Removal Sampling,,,,,,,,,,,,
Creatinine,0.77,1.07,5.64,8.03,8.12,1.3,6.8,7.8,7.9,0.003516,0.01,,,,,,,,,,,,
Urea,16.27,20.97,6.76,13.11,12.92,26.37,8.5,13.5,12.9,0.0826,0.14,,,,,,,,,,,,
Phosphate,1.88,2.8,5.07,6.59,6.76,3.42,6.2,6.1,6.5,0.0089,0.02,,,,,,,,,,,,
Potassium,5.65,6.84,6.79,17.16,16.76,,,,,0.07475,0.1,,,,,,,,,,,,
Glucose,,-65.9,,,,,,,,,1.5488,,,,,,,,,,,,
Fluid parameters:,,,,,,,,,,,,,,,,,,,,,,,
Sample,Time code,Time,Dextran,Sample volume,IPV,LA,UFV,UFR,,,,,,,,,,,,,,,
,,min,g/L,mL,mL,mL,mL,L/min,,,,,,,,,,,,,,,
T=-1,,,0.687662169,,1755,,,,,,,,,,,,,,,,,,
T=0,00:03,0,,6.5,,,,,,,,,,,,,,,,,,,
T=10,00:11,10,0.681044842,6.5,2071.63,0,0,0,,,,,,,,,,,,,,,
T=20,00:21,20,0.588402264,6.5,2414.49,-24.20690331,325.15,0.032515026,,,,,,,,,,,,,,,
T=30,00:31,30,0.703625025,6.5,2037.87,-24.20690331,-394.32,-0.039432247,,,,,,,,,,,,,,,
T=60,01:01,60,0.686849509,6.5,2153.61,-72.62070992,49.61,0.001653799,,,,,,,,,,,,,,,
T=120,02:01,120,0.686501228,6.5,2293.44,-145.2414198,1.09,1.82E-05,,,,,,,,,,,,,,,
T=180,03:01,180,0.701419243,6.5,2383.54,-145.2414198,-48.64,-0.000810656,,,,,,,,,,,,,,,
T=240,04:01,240,0.677387898,6.5,2606.61,-145.2414198,84.33,0.001405485,,,,,,,,,,,,,,,
,,,,39,2292.43,-556.7587761,17.22,,,,,,,,,,,,,,,,
,,,,,Mean IPV,-556.7587761,17.22,,,,,,,,,,,,,,,,
,,,,,,Ik begrijp niet waarom het AMC nog met een geometrisch gemiddeld vermenigvuldigd.,,,,,,,,,,,,,,,,,
Abbreviations,,,,,,,,,,,,,,,,,,,,,,,
IPV (ml),Intraperitoneal volume = (C0 * V0)/Cn - (Abs * tn),,,,,,,,,,,,,,,,,,,,,,
UFV (ml),Ultrafiltration volume,,,,,,,,,,,,,,,,,,,,,,
