SPA: Standard Peritoneal permeability Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Pig,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Animal,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ear number pig:,2136,,,,,,,,,,Experimental notes: ,,,,,,,,,,,,,,,,,
Sex:,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weight:,,kg,,,,,ACTUAL VALUES (baesed on HIX),,,,,,,,,,,,,,,,,,,,,
Jugular katheter location,,,,,,,Urea,Creatinine,Sodium,Potassium,Albumin,Total protein,Phosphate,Glucose,,,,,,,,,,,,,,
PD catheter:,Straight Tenckhoff,"Argyle, Covidien, Tenckhoff, 1 cuff, 47 cm",,,,,mmol/L,µmol/L,mmol/L,mmol/L,g/L,g/L,mmol/L,mmol/L,,,,,,,,,,,,,,
PD catheter REF:,,,,Use by:,,,8.1,719,138,,25.1,53,1.73,5.5,,,,,,,,,,,,,,
PD catheter location:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Placement date PD catheter:,,,,,,,7.6,752,140,,26.7,54,1.95,7.3,,,,,,,,,,,,,,
storage,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temperature chip present?,yes,"38,3 C during experiment",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laboratory measurements:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plasma concentrations,,,,,,,,,,,,,,,,,,,,,,,,Costs lkch,,,,
Sample,,Sample volume,Time code,Actual time,,Urea,Creatinine,Sodium,Potassium,Albumin,Total protein,Phosphate,Glucose,Storage,Remarks,,,,,,,,,,,,,
,,mL,,,,mmol/L,µmol/L,mmol/L,mmol/L,g/L,g/L,mmol/L,mmol/L,,(text),,,,,,,,,,,,,
T=0,,5,00:00,08:25,,8.1,719,138,,25.1,53,1.73,5.5,,,,,,,,,,,16.1,,,,
T=120,,XXX,,,,,,,,,,,,,,,,,,,,,,,,,,
T=240,,5,04:00,12:53,,7.6,752,140,,26.7,56,1.95,7.3,,,,,,,,,,,11.78,,,,
Mean,,,,,,7.9,736,,4.7,,,1.8,,,,,,,,,,,,,,,,
Dialysate concentrations,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample,,Sample volume,Time code,Actual time,Blue dextran,Urea,Creatinine,Sodium,Potassium,Albumin,Total protein,Phosphate,Glucose,Storage,Remarks,Leukocytes,Neutrophils,D/P Urea,D/P Creatinine,D/P P,D/P K,D/D0 Glucose,D/P Na,,,,,
,,mL,,,g/L,mmol/L,µmol/L,mmol/L,mmol/L,g/L,g/L,mmol/L,mmol/L,,(text),x10^9/L,x10^9/L,,,,,,,,,,,
drain after PN 1.36% dwell of the previous SPA 1,,,00:01,08:28,,7.9,623,,4.5,116,0.97,1.54,,7.34,30,"<0,1",,,,,,,,13.2,,,,
Fresh PD fluid for SPA (PN 1.36% + blue dextran),,,00:02,08:20,,,,132,<1,,,,0.1,5.09,290,,,,,,,,,4.41,,,,
T=0,,6.5,00:03,08:40,,1.3,95,,1.1,23,0.17,0.23,1.046391753,6.61,67,,,0.16,0.13,,,,,13.2,,,,
T=10,,5.2,00:11,08:50,,1.8,114,133,,26,0.19,0.28,2.2,6.67,59,,,0.22,0.16,,,,#DIV/0!,16.06,,,,
T=20,,2.2,00:21,09:01,,,,,,,,,,6.86,65,,,,,,,,,,,,,
T=30,,2.2,00:31,09:11,,,,,,,,,,6.9,57,,,,,,,,,,,,,
T=60,,5.2,01:01,09:41,,3.3,196,132,,33,0.25,,2.9,6.95,21,,,0.42,0.27,,,,#DIV/0!,16.06,,,,
T=120,,3.2,02:01,10:40,,4.4,263,,4,,,0.56,3.6,7.05,-16,,,0.56,0.36,,,,,7.27,,,,
T=180,,3.2,03:01,11:40,,5.1,321,,,,,0.66,4,7.22,-32,,,0.65,0.44,,,,,7.27,,,,
T=240,,7.2,04:01,13:02,,5.8,381,133,4.2,48,0.39,0.77,5.6,7.22,-13,,,0.76,0.51,0.39,0.89,,#DIV/0!,16.06,,,,
t=0 after second filling,,4.2,04:05,13:15,,,,,,6,0.06,,,7.38,20,"<0,1",,,,,,,,8.91,,,,
,,34.9,,,,,,,,,,X,3.6,,,,,,,,,,,130.32,,,,
,,,,,,,,,,,,%,0.06,0.02,,,,,,,,,,,,,,
Exchange scheme:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exchange,Solution,Volume bag (mL),Weight bag (g) before instillment,Weight bag after instillment (g),Volume instilled (mL),Weight drain bag (g),Weight empty drain bag (g),Drain volume (mL),Draining times,,,,,,,,,,,,,,,,,,,
Overnight dwell,Extraneal,2000,,,#DIV/0!,840,75,705,Out,08:08:00-8:20,,,,,,,,,,,,,,,,,,
SPA dwell,Extraneal + blue dextran,2000,2325,150,1977,2075,75,1818,In,08:25:00-8:36,Out,12:40:00-12:55,,,,,,,,,,,,,,,,
PD fluid for second spa,Physioneal 1.36,2000,2355,210,1950,,75,-68,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residual volume calculation:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RV before SPA (mL),RV after SPA (mL),IP volume T=0 (mL),IP volume T=240 (mL),Mean IPV (mL),ELAR (mL/h),UFV (mL/h),,,,,,,,,,,,,,,,,,,,,
[Creatinine],,,2397,2173,2285.1,101,51.75,2285,2283.242486,,,,,,,,,,,,,,,,,,,
[Total protein],420,355,,,,,,-190,,,,,,,,,,,,,,,,,,,,
[Albumin],489,279,,,,,,,,,,,,,,,,,,,,,,,,,,
[Dextran] ,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,
Mean,,,,,,*estimated based on mean ELAR SPA's,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transport parameters:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2-h Removal (mmol),MT total (mmol),Clearance (mL/min),MTAC Garred (mL/min),MTAC Waniewski (mL/min),MT total (mmol),Clearance (mL/min),MTAC Garred (mL/min),MTAC Waniewski (mL/min),2-h Removal Sampling,Removal Sampling,,,,,,,,,,,,,,,,,
Creatinine,0.35,0.60,3.43,6.25,6.10,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.0029115,0.00,,,,,,,,,,,,,,,,,
Urea,6.49,9.56,5.08,11.41,11.53,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.04619,0.08,,,,,,,,,,,,,,,,,
Phosphate,0.67,1.13,2.56,4.59,4.36,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.006527,0.01,,,,,,,,,,,,,,,,,
Potassium,6.11,6.56,5.82,18.76,19.26,,,,,0.056445,0.07,,,,,,,,,,,,,,,,,
Glucose,,9.7,,,,,,,,,0.068861546,,,,,,,,,,,,,,,,,
Fluid parameters:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample,Time code,Time,Blue dextran,Sample volume,IPV,ELAR,UFV,UFR,,"Dx0, absolute amount of Dextran at T=0",,,,0.000,,,,,,,,,,,,,,
,,min,g/L,mL,mL,mL,mL,L/min,,"Dxt, absolute amount of Dextran at T=240",,,,0.000,,,,,,,,,,,,,,
T=-1,00:02,0,,,1977.27,,,,,Dx geometric,,,,0.0,,,,,,,,,,,,,,
T=0,00:03,0,,6.5,#DIV/0!,,,,,ELAR (mL/min),,,,#DIV/0!,,,,,,,,,,,,,,
T=10,00:11,10,,5.2,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,
T=20,00:21,20,,2.2,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,
T=30,00:31,30,,2.2,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,
T=60,01:01,60,,5.2,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,
T=120,02:01,120,,3.2,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,
T=180,03:01,180,,3.2,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,
T=240,04:01,240,,7.2,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,
,,,,27.7,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
,,,,,,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abbreviations,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IPV (ml),Intraperitoneal volume = (C0 * V0)/Cn - (Abs * tn),,,,,,,,,,,,,,,,,,,,,,,,,,,
UFV (ml),Ultrafiltration volume,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA (ml),Lymphatic absorption,,,,,,,,,,,,,,,,,,,,,,,,,,,
Th IPV (m),Theoretical IPV,,,,,,,,,,,,,,,,,,,,,,,,,,,
NUFR (ml/min),Netto Ultrafiltration Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCUFR (ml/min),Transcappilary ultrafiltration rate,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELAR (ml/min),Effective lymphatic absorption rate,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Formulas,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Na Sieving ,?Dna =,[Dna]60 - [Dna]0,,i.e. Initial drop in [Dna] due to transcallular UF of water through aquaporins,,,,,,,,,,,,,,,,,,,,,,,,
Residual volume (RV),RV = (V*[total protein]1 / [total protein]2) - V,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"V = volume of PD fluid instilled, [total protein]1 = total protein concentration in residual volume, [total protein]2 = total, protein concentration after PD fluid has been instilled.",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Effective Lymphatic Reabsorption (ELAR, mL/min)",ELAR (ml/min) =,(Dx0 -Dxt) / [Dxgeom] x ?t,,,,,,,,,,,,,,,,,,,,,,,,,,
Intraperitoneal volume (mL) (blue dextran),Vt2 =,((Dt1 * Vt1)/Dt2) - (ELAR *?t),,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Where Dt1 = dialysate dextran concentration at t1, Dt2 = dialysate dextran concentration at t2, Vt1 = intraperitoneal volume at t1, ELAR = dextran absorption rate, ?t = time interval between two consecutive time points",,,,,,,,,,,,,,,,,,,,,,,,,,
Ultrafiltration volume (mL),UF = ,(RV0 + V0) - (RVt + Vt) + Vsamples + ELAR,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"UF = net ultrafiltration volume, RV0 = residual volume at t=0, RVt = residual volume at t=x min, V0 = instilled dialysate volume, Vt = drained dialysate volume, V samples = total sample volume, ELAR = effective lymphatic reabsorption",,,,,,,,,,,,,,,,,,,,,,,,,,
MTAC according to Garred,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTAC according to Waniewski,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
