SPA: Standard Peritoneal permeability Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Pig,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Animal,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ear number pig:,2136,,,,,,,,,,Experimental notes: ,,"No problems with catheter, filling and draining without problem (embolisation and catheter placement 19-02)",,,,,,,,,,,,,,,
Sex:,F,,,,,,,,,,,,Oral … ,,,,,,,,,,,,,,,
Weight:,30,kg,,,,,,,,,,,15 milileter of blood drawn,,,,,,,,,,,,,,,
Jugular katheter location,,,,,,,,,,,,,"0.804 grams of Bluedextran used (0,004 gram for calibration, 0,8 gram diluted in 40ml PN (from storage))",,,,,,,,,,,,,,,
PD catheter:,Straight Tenckhoff,"Argyle, Covidien, Tenckhoff, 1 cuff, 47 cm",,,,,,,,,,,Pig had a left red eye,,,,,,,,,,,,,,,
PD catheter REF:,,,,Use by:,,,,,,,,,,,,,,,,,,,,,,,,
PD catheter location:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Placement date PD catheter:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
storage,28.02,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temperature chip present?,yes,"38,3 C during experiment",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laboratory measurements:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plasma concentrations,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample,,Sample volume,Time code,Actual time,,Urea,Creatinine,Sodium,Potassium,Albumin,Total protein,Phosphate,Glucose,Storage,Remarks,,,,,,,,,,,,,
,,mL,,,,mmol/L,µmol/L,mmol/L,mmol/L,g/L,g/L,mmol/L,mmol/L,,(text),,,,,,,,,,,,,
T=0,,XXX,00:00,08:46,,8.2,436,139,,24.1,51,3.25,5.7,28.02,,,,,,,,,,,,,,
T=120,,XXX,02:00,10:46,,8.3,461,139,,22.5,50,2.99,5.8,28.02,,,,,,,,,,,,,,
T=240,,XXX,04:00,12:50,,8.9,466,139,,22.6,49,3.05,5.6,28.02,,,,,,,,,,,,,,
Mean,,,,,,8.5,454,,3.9,,,3.1,,,,,,,,,,,,,,,,
Dialysate concentrations,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample,,Sample volume,Time code,Actual time,Blue dextran,Urea,Creatinine,Sodium,Potassium,Albumin,Total protein,Phosphate,Glucose,Storage,Remarks,Leukocytes,Neutrophils,D/P Urea,D/P Creatinine,D/P P,D/P K,D/D0 Glucose,D/P Na,,,,,
,,mL,,,g/L,mmol/L,µmol/L,mmol/L,mmol/L,g/L,g/L,mmol/L,mmol/L,,(text),x10^9/L,x10^9/L,,,,,,,,,,,
drain after PN 1.36% dwell of the previous SPA 1,,35,00:01,08:30,,7.38,239.8,,3.9,132,1.05,1.3,,28.02,,"<0,1",,,,,,,,,,,,
Fresh PD fluid for SPA (PN 1.36% + blue dextran),,5,00:02,08:27,0.43,,,128,<1,,,,74.7,28.02,,,,,,,,,,,,,,
T=0,,5,00:03,08:47,0.37,0,16,,0.26,9,0.07,0,70.1,28.02,,,,0.06,0.04,,,1.00,,,,,,
T=10,,7,00:11,08:56,0.37,0.7,28,127,,10,0.08,0.21,68.1,28.02,,,,0.09,0.06,,,0.97,#DIV/0!,,,,,
T=20,,2,00:21,09:07,0.37,,,,,,,,,,,,,,,,,,,,,,,
T=30,,2,00:31,09:16,0.36,,,,,,,,,,,,,,,,,,,,,,,
T=60,,7,01:01,09:47,0.36,1.7,57,124,,14,0.10,0.35,63.6,28.02,,,,0.21,0.13,,,0.91,#DIV/0!,,,,,
T=120,,4,02:01,10:45,0.35,2.7,84,,3.2,,,0.5,56.6,28.02,,,,0.33,0.18,,,0.81,,,,,,
T=180,,4,03:01,11:46,0.34,3.4,110,,,,,0.63,53.6,28.02,,,,0.40,0.24,,,0.76,,,,,,
T=240,,7,04:01,12:55,0.34,4.3,143,122,3.4,26,0.22,0.79,48.6,28.02,,,,0.48,0.31,0.26,0.87,0.69,#DIV/0!,,,,,
PD effluent complete drain after rinsing,,5,04:02,13:20,0.04,,,,,11,0.07,,,28.02,,,,,,,,,,,,,,
,,73,,,,,,,,,,X,58.2,,,,,,,,,,,,,,,
,,,,,,,,,,,,%,1.05,1.26,,,,,,,,,,,,,,
Exchange scheme:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exchange,Solution,Volume bag (mL),Weight bag (g) before instillment,Weight bag after instillment (g),Volume instilled (mL),Weight drain bag (g),Weight empty drain bag (g),Drain volume (mL),Total sample volume (mL),,Start,End,,,,,,,,,,,,,,,,
Overnight dwell,1.36 % Physioneal + blue dextran,2000,,,#DIV/0!,1485,75,1195,,Fill,08:16:00,,,,,,,,,,,,,,,,,
SPA dwell,1.36% Physioneal + blue dextran,2000,2360,210,1954.55,2115,75,1855,,Fill,08:36:00,08:45,,,,,,,,,,,,,,,,
PD fluid for rinsing,1.36% Physioneal,2000,2360,1165,1086,,,0,,Drain,12:45:00,,,,,,,,,,,,,,,,,
