SPA: Standard Peritoneal permeability Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Pig,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Animal,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ear number pig:,2136,,,,,,,,,,Experimental notes: ,,,,,,,,,,,,,,,,,
Sex:,F,,,,,,,,,,"Barbital bandaid, was a littledowsy during the beginning of the experiment. Slept a lot. Was awake and alert during the last hour. Did not seem painful",,,,,,,,,,,,,,,,,
Weight:,,kg,,,,,,,,,,,,,,,,,,,,,,,,,,
Jugular katheter location,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PD catheter:,Straight Tenckhoff,"Argyle, Covidien, Tenckhoff, 1 cuff, 47 cm",,,,,,,,,,,,,,,,,,,,,,,,,,
PD catheter REF:,,,,Use by:,,,,,,,,,,,,,,,,,,,,,,,,
PD catheter location:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Placement date PD catheter:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
storage,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temperature chip present?,yes,"38,3 C during experiment",38.6,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laboratory measurements:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plasma concentrations,,,,,,,,,,,,,,,,,,,,,,,,Costs lkch,,,,
Sample,,Sample volume,Time code,Actual time,,Urea,Creatinine,Sodium,Potassium,Albumin,Total protein,Phosphate,Glucose,Storage,Remarks,,,,,,,,,,,,,
,,mL,,,,mmol/L,µmol/L,mmol/L,mmol/L,g/L,g/L,mmol/L,mmol/L,,(text),,,,,,,,,,,,,
T=0,,5,00:00,08:25,,11.4,402,138,,24.5,53,2.75,5.8,,,,,,,,,,,16.1,,,,
T=120,,XXX,,,,,,,,,,,,,,,,,,,,,,,,,,
T=240,,5,04:00,12:50,,10.7,402,140,,26.0,56,2.78,5.2,,,,,,,,,,,11.78,,,,
Mean,,,,,,11.1,402,,4.0,,,2.8,,,,,,,,,,,,,,,,
Dialysate concentrations,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample,,Sample volume,Time code,Actual time,Blue dextran,Urea,Creatinine,Sodium,Potassium,Albumin,Total protein,Phosphate,Glucose,Storage,Remarks,Leukocytes,Neutrophils,D/P Urea,D/P Creatinine,D/P P,D/P K,D/D0 Glucose,D/P Na,,,,,
,,mL,,,g/L,mmol/L,µmol/L,mmol/L,mmol/L,g/L,g/L,mmol/L,mmol/L,,(text),x10^9/L,x10^9/L,,,,,,,,,,,
drain after PN 1.36% dwell of the previous SPA 1,,,00:01,08:20,0.037840501,11.4,280,,3.9,139,1.22,1.7,,,,0.3,0.05,,,,,,,13.2,,,,
Fresh PD fluid for SPA (PN 1.36% + blue dextran),,,00:02,08:17,0.545358835,,,129,<1,,,,70.4,,,,,,,,,,,4.41,,,,
T=0,,6.5,00:03,08:35,0.431044026,1.3,29,,0.5,16,0.10,0.19,68,,,,,0.11,0.07,,,1.00,,13.2,,,,
T=10,,5.2,00:11,08:45,0.427693419,1.7,34,128,,15,0.11,0.21,65.1,,,,,0.15,0.08,,,0.96,#DIV/0!,16.06,,,,
T=20,,2.2,00:21,08:54,0.419661818,,,,,,,,,,,,,,,,,,,,,,,
T=30,,2.2,00:31,09:05,0.421304272,,,,,,,,,,,,,,,,,,,,,,,
T=60,,5.2,01:01,09:35,0.409675697,3.5,64,125,,18,0.14,0.21,57.3,,,,,0.32,0.16,,,0.84,#DIV/0!,16.06,,,,
T=120,,3.2,02:01,10:36,0.400215161,4.9,91,,3.2,,,0.53,53.8,,,,,0.44,0.23,,,0.79,,7.27,,,,
T=180,,3.2,03:01,11:35,0.393185458,5.9,122,,,,,0.63,50.8,,,,,0.53,0.30,,,0.75,,7.27,,,,
T=240,,7.2,04:01,12:49,0.390229041,7.2,145,123,3.5,28,0.23,0.78,44.4,,,,,0.67,0.36,0.28,0.88,0.65,#DIV/0!,16.06,,,,
t=0 after second filling,,4.2,04:02,13:08,0.447402869,,,,,18,0.14,,,,,0.2,0.05,,,,,,,8.91,,,,
,,34.9,04:05,,,,,,,,,X,54.4,,,,,,,,,,,130.32,,,,
,,,,,,,,,,,,%,0.98,1.22,,,,,,,,,,,,,,
Exchange scheme:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exchange,Solution,Volume bag (mL),Weight bag (g) before instillment,Weight bag after instillment (g),Volume instilled (mL),Weight drain bag (g),Weight empty drain bag (g),Drain volume (mL),Draining times,,,,,,,,,,,,,,,,,,,
Overnight dwell,Extraneal,2000,,,#DIV/0!,2205,75,1946,Out,08:00:00,08:15,start 9:35,,,,,,,,,,,,,,,,
SPA dwell,1.36% Physioneal + blue dextran,2000,2350,190,1964,1590,75,1377,In,08:22:00-8:35,Out,12:34:00- 12:44,,,,,,,,,,,,,,,,
PD fluid for second spa,Extraneal,2000,2320,1460,782,,75,-68,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
