SPA: Standard Peritoneal permeability Analysis,,,,,,,,,,,,,,,,,,,,,,,
Data Pig,,,,,,,,,,,,,,,,,,,,,,,
Animal,,,,,,,,,,,,,,,,,,,,,,,
Ear number pig:,2136,,,,,,,,,,Experimental notes: ,,,,,,,,,,,,
Sex:,F,,,,,,,,,,,,,,,,,,,,,,
Weight:,30,kg,,,,,,,,,,,,,,,,,,,,,
Jugular katheter location,,,,,,,,,,,,,,,,,,,,,,,
PD catheter:,Straight Tenckhoff,"Argyle, Covidien, Tenckhoff, 1 cuff, 47 cm",,,,,,,,,,,,,,,,,,,,,
PD catheter REF:,,,,Use by:,,,,,,,,,,,,,,,,,,,
PD catheter location:,,,,,,,,,,,,,,,,,,,,,,,
Placement date PD catheter:,,,,,,,,,,,,,,,,,,,,,,,
storage,28.05,,,,,,,,,,,,,,,,,,,,,,
Temperature chip present?,yes,"38,3 C during experiment",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Laboratory measurements:,,,,,,,,,,,,,,,,,,,,,,,
Plasma concentrations,,,,,,,,,,,,,,,,,,,,,,,
Sample,,Sample volume,Time code,Actual time,,Urea,Creatinine,Sodium,Potassium,Albumin,Total protein,Phosphate,Glucose,Storage,Remarks,,,,,,,,
,,mL,,,,mmol/L,µmol/L,mmol/L,mmol/L,g/L,g/L,mmol/L,mmol/L,,(text),,,,,,,,
T=0,,XXX,00:00,,,,,,,,,,,,,,,,,,,,
T=120,,XXX,02:00,11:21,,3.3,279,141,,21.6,53,1.55,5.8,28.05,,,,,,,,,
T=240,,XXX,04:00,,,,,,,,,,,,,,,,,,,,
Mean,,,,,,3.3,279,,4,,,1.6,,,,,,,,,,,
Dialysate concentrations,,,,,,,,,,,,,,,,,,,,,,,
Sample,,Sample volume,Time code,Actual time,Blue dextran,Urea,Creatinine,Sodium,Potassium,Albumin,Total protein,Phosphate,Glucose,Storage,Remarks,Leukocytes,Neutrophils,D/P Urea,D/P Creatinine,D/P P,D/P K,D/D0 Glucose,D/P Na
,,mL,,,g/L,mmol/L,µmol/L,mmol/L,mmol/L,g/L,g/L,mmol/L,mmol/L,,(text),x10^9/L,x10^9/L,,,,,,
drain after PN 1.36% dwell of the previous SPA 1,,,00:01,09:16,,4.3,281,,4.5,268,3.13,1.68,,28.05,,"<0,1",,,,,,,
Fresh PD fluid for SPA (PN 1.36% + blue dextran),,,00:02,09:10,0.39,,,130,<1,,,,72.5,28.05,,,,,,,,,
T=0,,6,00:03,09:24,0.33,0.3,19,,0.5,17,0.16,0.11,68.79392971,28.05,,,,0.09,0.07,,,1,
T=10,,6,00:11,09:33,0.33,0.5,24,128,,20,0.2,0.13,63.5,28.05,,,,0.15,0.09,,,0.92,#DIV/0!
T=20,,2,00:21,04:43,0.33,,,,,,,,,28.05,,,,,,,,,
T=30,,2,00:31,09:53,0.33,,,,,,,,,28.05,,,,,,,,,
T=60,,6,01:01,10:22,0.33,1.1,53,127,,30,0.32,0.25,56.9,28.05,,,,0.33,0.19,,,0.83,#DIV/0!
T=120,,3,02:01,11:23,0.32,1.6,84,,3,,,0.4,49.5,28.05,,,,0.48,0.3,,,0.72,
T=180,,3,03:01,12:22,0.32,2.3,112,,,,,0.56,42.4,28.05,,,,0.7,0.4,,,0.62,
T=240,,7,04:01,13:23,0.32,2.6,136,130,3.5,92,1.02,0.69,39.5,28.05,,,,0.79,0.49,0.45,0.88,0.57,#DIV/0!
PD effluent complete drain after rinsing,,4,04:02,13:40,0.04,,,,,30,0.28,,,28.05,,,,,,,,,
,,35,,,,,,,,,,X,50.3,,,,,,,,,,
,,,,,,,,,,,,%,0.91,1.24,,,,,,,,,
Exchange scheme:,,,,,,,,,,,,,,,,,,,,,,,
Exchange,Solution,Volume bag (mL),Weight bag (g) before instillment,Weight bag after instillment (g),Volume instilled (mL),Weight drain bag (g),Weight empty drain bag (g),Drain volume (mL),Total sample volume (mL),,Start,End,,,,,,,,,,,
Overnight dwell,1.36 % Physioneal + blue dextran,2000,,,#DIV/0!,1270,75,1096,,Fill,08:58:00,,,,,,,,,,,,
SPA dwell,1.36% Physioneal + blue dextran,2000,2360,206,1958,2240,75,1968,,Fill,09:12:00,09:23,,,,,,,,,,,
PD fluid for rinsing,1.36% Physioneal,2000,2360,1165,1086,1260,75,1077,,Drain,13:23:00,13:37,,,,,,,,,,,
,,,,205,,,,,,,,,,,,,,,,,,,
Residual volume calculation:,,,,,,,,,,,,,,,,,,,,,,,
,RV before SPA (mL),RV after SPA (mL),IP volume T=0 (mL),IP volume T=240 (mL),Mean IPV (mL),,,,,,,,,,,,,,,,,,
[Creatinine],142,411,2064,2379,2221.5,2221,2217.715082,,,,,,,,,,,,,,,,
[Total protein],105,411,,,,,,,,,,,,,,,,,,,,,
[Albumin],133,526,,,,,,,,,,,,,,,,,,,,,
[Dextran] ,334,163,,,,,,,,,,,,,,,,,,,,,
Mean,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Transport parameters:,,,,,,,,,,,,,,,,,,,,,,,
