SPA: Standard Peritoneal permeability Analysis,,,,,,,,,,,,,,,,,,,,,,,
Data Pig,,,,,,,,,,,,,,,,,,,,,,,
Animal,,,,,,,,,,,,,,,,,,,,,,,
Ear number pig:,2136,,,,,,,,,,,,,,Experimental notes:,,,,,,,,
Sex:,F,,,,,,,,,,,,,,"Blue dextran (SIGMA D5752) used: 0,8 g diluted in 30ml PN1.36 (20-02-2019)",,,,,,,,
Weight:,30,kg,,,,,,,,,,,,,,,,,,,,,
Jugular katheter location,,,,,,,,,,,,,,,,,,,,,,,
PD catheter:,Straight Tenckhoff,"Argyle, Covidien, Tenckhoff, 1 cuff, 47 cm",,,,,,,,,,,,,,,,,,,,,
PD catheter REF:,,,,Use by:,,,,,,,,,,,,,,,,,,,
PD catheter location:,,,,,,,,,,,,,,,,,,,,,,,
Placement date PD catheter:,,,,,,,,,,,,,,,,,,,,,,,
Storage,28.05,,,,,,,,,,,,,,,,,,,,,,
Temperature chip present?,yes,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Laboratory measurements:,,,,,,,,,,,,,,,,,,,,,,,
Plasma concentrations,,,,,,,,,,,,,,,,,,,,,,,
Sample,,Sample volume,Time code,Actual time,,Urea,Creatinine,Sodium,Potassium,Albumin,Total protein,Phosphate,Glucose,Storage,Remarks,,,,,,,,
,,mL,,,,mmol/L,µmol/L,mmol/L,mmol/L,g/L,g/L,mmol/L,mmol/L,,(text),,,,,,,,
T=0,,XXX,00:00,,,13.3,598,143,,23.5,54,2.85,6,28.05,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Mean,,,,,,13.3,598,,3.8,,,2.9,,,,,,,,,,,
Dialysate concentrations,,,,,,,,,,,,,,,,,,,,,,,
Sample,,Sample volume,Time code,Actual time,Blue dextran,Urea,Creatinine,Sodium,Potassium,Albumin,Total protein,Phosphate,Glucose,Storage,Remarks,Leukocytes,Neutrophils,D/P Urea,D/P Creatinine,D/P P,D/P K,D/D0 Glucose,D/P Na
,,mL,,,g/L,mmol/L,µmol/L,mmol/L,mmol/L,g/L,g/L,mmol/L,mmol/L,,(text),x10^9/L,x10^9/L,,,,,,
drain after PN 1.36% dwell of the previous SPA 1,,20,00:01,,,11.97,328.9,,3.5,164,1.62,1.14,,28.05,,0.5,0.28,,,,,,
Fresh PD fluid for SPA (PN 1.36% + blue dextran),,4,00:02,08:23,0.43,,,129,<1,,,,72.1,28.05,,,,,,,,,
T=0,,4,00:03,08:42,0.35,2,45,,0.5,18,0.18,0,68,28.05,,,,0.12,0.07,,,1,
T=10,,6,00:11,08:51,0.35,2.5,79,128,,22,0.22,0.33,64.5,28.05,,,,0.19,0.13,,,0.95,#DIV/0!
T=20,,2,00:21,09:00,0.35,,,,,,,,,28.05,,,,,,,,,
T=30,,2,00:31,09:10,0.35,,,,,,,,,28.05,,,,,,,,,
T=60,,6,01:01,09:41,0.34,4.4,136,128,,35,0.35,0.55,56.2,28.05,,,,0.33,0.23,,,0.83,#DIV/0!
T=120,,6,02:01,10:43,0.34,6.2,197,,3,,,0.79,49.3,28.05,,,,0.47,0.33,,,0.73,
T=180,,3,03:01,11:42,0.34,7.8,254,,,,,0.99,44.7,28.05,,,,0.59,0.42,,,0.66,
T=240,,6,04:01,12:40,0.33,9.2,309,131,3.3,72,0.74,1.19,39.3,28.05,,,,0.69,0.52,0.42,0.87,0.58,#DIV/0!
PD effluent complete drain after rinsing,,4,04:02,13:16,0.06,,,,,25,0.23,,,28.05,,,,,,,,,
Urine sample,,55,04:05,13:15,,,,,,,,X,50.8,,,,,,,,,,
,,,,,,,,,,,,%,0.91,1.22,,,,,,,,,
Exchange scheme:,,,,,,,,,,,,,,,,,,,,,,,
Exchange,Solution,Volume bag (mL),Weight bag (g) before instillment,Weight bag after instillment (g),Volume instilled (mL),Weight drain bag (g),Weight empty drain bag (g),Drain volume (mL),Total sample volume (mL),,,,,,,,,,,,,,
SPA 1 dwell,1.36 % Physioneal + blue dextran,2000,,,#DIV/0!,1140,75,968,,uitloop,08:18:00,,,,,,,,,,,,
SPA 2 dwell,1.36% Physioneal + blue dextran,2000,2360,215,1950,1675,75,1455,,inloop,08:26:00,08:40,,,,,,,,,,,
PD fluid for rinsing,1.36% Physioneal,2000,2355,1200,1050,1460,75,1259,,uitloop,12:40:00,,,,,,,,,,,,
,,,,,,,,,,inloop,13:05-13;06,uitloop,13:14,13:18,,,,,,,,,
Residual volume calculation:,,,,,,,,,,,,,,,,,,,,,,,
,RV before SPA (mL),RV after SPA (mL),IP volume T=0 (mL),IP volume T=240 (mL),Mean IPV (mL),,,,,,,,,,,,,,,,,,
[Creatinine],,,2256,1928,2092.3,2092,2087.950382,,,,,,,,,,,,,,,,
[Total protein],306,474,,,,,,,,,,,,,,,,,,,,,
[Albumin],302,559,,,,,,,,,,,,,,,,,,,,,
[Dextran] ,462,254,,,,,,,,,,,,,,,,,,,,,
Mean,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
